Catégorie : Toutes catégories

Jour,diet: (Dans tous les pays),gym: (Dans tous les pays),finance: (Dans tous les pays)
2021-04-23,44,55,80
2021-04-24,47,54,49
2021-04-25,50,58,45
2021-04-26,48,62,87
2021-04-27,48,63,80
2021-04-28,47,56,88
2021-04-29,47,57,90
2021-04-30,45,55,88
2021-05-01,42,57,50
2021-05-02,46,59,43
2021-05-03,49,65,87
2021-05-04,47,62,89
2021-05-05,48,58,94
2021-05-06,46,57,92
2021-05-07,43,54,85
2021-05-08,43,55,54
2021-05-09,46,54,49
2021-05-10,48,59,93
2021-05-11,49,60,100
2021-05-12,46,58,92
2021-05-13,47,56,88
2021-05-14,44,55,91
2021-05-15,45,60,52
2021-05-16,48,59,47
2021-05-17,49,59,92
2021-05-18,47,60,90
2021-05-19,48,58,89
2021-05-20,48,58,87
2021-05-21,45,55,80
